code,libelle,niveau
2.4,Services de soutien à l'exploitation forestière,classe
3.11,Pêche en mer,classe
3.12,Pêche en eau douce,classe
3.21,Aquaculture en mer,classe
3.22,Aquaculture en eau douce,classe
5.1,Extraction de houille,classe
5.2,Extraction de lignite,classe
6.1,Extraction de pétrole brut,classe
6.2,Extraction de gaz naturel,classe
7.1,Extraction de minerais de fer,classe
7.21,Extraction de minerais d'uranium et de thorium,classe
7.29,Extraction d'autres minerais de métaux non ferreux,classe
8.11,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",classe
8.12,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",classe
8.91,Extraction des minéraux chimiques et d'engrais minéraux,classe
8.92,Extraction de tourbe,classe
8.93,Production de sel,classe
8.99,Autres activités extractives n.c.a.,classe
9.1,Activités de soutien à l'extraction d'hydrocarbures,classe
9.9,Activités de soutien aux autres industries extractives,classe
10.11,Transformation et conservation de la viande de boucherie,classe
10.12,Transformation et conservation de la viande de volaille,classe
10.13,Préparation de produits à base de viande,classe
10.2,"Transformation et conservation de poisson, de crustacés et de mollusques",classe
10.31,Transformation et conservation de pommes de terre,classe
10.32,Préparation de jus de fruits et légumes,classe
10.39,Autre transformation et conservation de fruits et légumes,classe
10.41,Fabrication d'huiles et graisses,classe
10.42,Fabrication de margarine et graisses comestibles similaires,classe
10.51,Exploitation de laiteries et fabrication de fromage,classe
10.52,Fabrication de glaces et sorbets,classe
10.61,Travail des grains,classe
10.62,Fabrication de produits amylacés,classe
10.71,Fabrication de pain et de pâtisserie fraîche,classe
10.72,"Fabrication de biscuits, biscottes et pâtisseries de conservation",classe
10.73,Fabrication de pâtes alimentaires,classe
10.81,Fabrication de sucre,classe
10.82,"Fabrication de cacao, chocolat et de produits de confiserie",classe
10.83,Transformation du thé et du café,classe
10.84,Fabrication de condiments et assaisonnements,classe
10.85,Fabrication de plats préparés,classe
10.86,Fabrication d'aliments homogénéisés et diététiques,classe
10.89,Fabrication d'autres produits alimentaires n.c.a.,classe
10.91,Fabrication d'aliments pour animaux de ferme,classe
10.92,Fabrication d'aliments pour animaux de compagnie,classe
11.01,Production de boissons alcooliques distillées,classe
11.02,Production de vin (de raisin),classe
11.03,Fabrication de cidre et de vins de fruits,classe
11.04,Production d'autres boissons fermentées non distillées,classe
11.05,Fabrication de bière,classe
11.06,Fabrication de malt,classe
11.07,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,classe
12,Fabrication de produits à base de tabac,classe
13.1,Préparation de fibres textiles et filature,classe
13.2,Tissage,classe
13.3,Ennoblissement textile,classe
13.91,Fabrication d'étoffes à mailles,classe
13.92,"Fabrication d'articles textiles, sauf habillement",classe
13.93,Fabrication de tapis et moquettes,classe
13.94,"Fabrication de ficelles, cordes et filets",classe
13.95,"Fabrication de non-tissés, sauf habillement",classe
13.96,Fabrication d'autres textiles techniques et industriels,classe
13.99,Fabrication d'autres textiles n.c.a.,classe
14.11,Fabrication de vêtements en cuir,classe
14.12,Fabrication de vêtements de travail,classe
14.13,Fabrication de vêtements de dessus,classe
14.14,Fabrication de vêtements de dessous,classe
14.19,Fabrication d'autres vêtements et accessoires,classe
14.2,Fabrication d'articles en fourrure,classe
14.31,Fabrication d'articles chaussants à mailles,classe
14.39,Fabrication d'autres articles à mailles,classe
15.11,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,classe
15.12,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",classe
15.2,Fabrication de chaussures,classe
16.1,Sciage et rabotage du bois,classe
16.21,Fabrication de placage et de panneaux de bois,classe
16.22,Fabrication de parquets assemblés,classe
16.23,Fabrication de charpentes et d'autres menuiseries,classe
16.24,Fabrication d'emballages en bois,classe
16.29,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",classe
17.11,Fabrication de pâte à papier,classe
17.12,Fabrication de papier et de carton,classe
17.21,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,classe
17.22,Fabrication d'articles en papier à usage sanitaire ou domestique,classe
17.23,Fabrication d'articles de papeterie,classe
17.24,Fabrication de papiers peints,classe
17.29,Fabrication d'autres articles en papier ou en carton,classe
18.11,Imprimerie de journaux,classe
18.12,Autre imprimerie (labeur),classe
18.13,Activités de pré-presse,classe
18.14,Reliure et activités connexes,classe
18.2,Reproduction d'enregistrements,classe
19.1,Cokéfaction,classe
19.2,Raffinage du pétrole,classe
20.11,Fabrication de gaz industriels,classe
20.12,Fabrication de colorants et de pigments,classe
20.13,Fabrication d'autres produits chimiques inorganiques de base,classe
20.14,Fabrication d'autres produits chimiques organiques de base,classe
20.15,Fabrication de produits azotés et d'engrais,classe
20.16,Fabrication de matières plastiques de base,classe
20.17,Fabrication de caoutchouc synthétique,classe
20.2,Fabrication de pesticides et d'autres produits agrochimiques,classe
20.3,"Fabrication de peintures, vernis, encres et mastics",classe
20.41,"Fabrication de savons, détergents et produits d'entretien",classe
20.42,Fabrication de parfums et de produits pour la toilette,classe
20.51,Fabrication de produits explosifs,classe
20.52,Fabrication de colles,classe
20.53,Fabrication d'huiles essentielles,classe
20.59,Fabrication d'autres produits chimiques n.c.a.,classe
20.6,Fabrication de fibres artificielles ou synthétiques,classe
21.1,Fabrication de produits pharmaceutiques de base,classe
21.2,Fabrication de préparations pharmaceutiques,classe
22.11,Fabrication et rechapage de pneumatiques,classe
22.19,Fabrication d'autres articles en caoutchouc,classe
