code,libelle,type
7210,Commune et commune nouvelle ,3
7220,Département ,3
7225,Collectivité et territoire d'Outre Mer,3
7229,(Autre) Collectivité territoriale ,3
7230,Région ,3
7312,Commune associée et commune déléguée ,3
7313,Section de commune ,3
7314,Ensemble urbain ,3
7321,Association syndicale autorisée ,3
7322,Association foncière urbaine ,3
7323,Association foncière de remembrement ,3
7331,Établissement public local d'enseignement ,3
7340,Pôle métropolitain,3
7341,Secteur de commune ,3
7342,District urbain ,3
7343,Communauté urbaine ,3
7344,Métropole,3
7345,Syndicat intercommunal à vocation multiple (SIVOM) ,3
7346,Communauté de communes ,3
7347,Communauté de villes ,3
7348,Communauté d'agglomération ,3
7349,Autre établissement public local de coopération non spécialisé ou entente ,3
7351,Institution interdépartementale ou entente,3
7352,Institution interrégionale ou entente ,3
7353,Syndicat intercommunal à vocation unique (SIVU) ,3
7354,Syndicat mixte fermé ,3
7355,Syndicat mixte ouvert,3
7356,Commission syndicale pour la gestion des biens indivis des communes ,3
7357,Pôle d'équilibre territorial et rural (PETR),3
7361,Centre communal d'action sociale ,3
7362,Caisse des écoles ,3
7363,Caisse de crédit municipal ,3
7364,Établissement d'hospitalisation ,3
7365,Syndicat inter hospitalier ,3
7366,Établissement public local social et médico-social ,3
7367,Centre Intercommunal d'action sociale (CIAS),3
7371,Office public d'habitation à loyer modéré (OPHLM) ,3
7372,Service départemental d'incendie et de secours (SDIS),3
7373,Établissement public local culturel ,3
7378,Régie d'une collectivité locale à caractère administratif ,3
7379,(Autre) Établissement public administratif local ,3
7381,Organisme consulaire ,3
7382,Établissement public national ayant fonction d'administration centrale ,3
7383,Établissement public national à caractère scientifique culturel et professionnel ,3
7384,Autre établissement public national d'enseignement ,3
7385,Autre établissement public national administratif à compétence territoriale limitée ,3
7389,Établissement public national à caractère administratif ,3
7410,Groupement d'intérêt public (GIP) ,3
7430,Établissement public des cultes d'Alsace-Lorraine ,3
7450,"Etablissement public administratif, cercle et foyer dans les armées ",3
7470,Groupement de coopération sanitaire à gestion publique ,3
7490,Autre personne morale de droit administratif ,3
8110,Régime général de la Sécurité Sociale,3
8120,Régime spécial de Sécurité Sociale,3
8130,Institution de retraite complémentaire ,3
8140,Mutualité sociale agricole ,3
8150,Régime maladie des non-salariés non agricoles ,3
8160,Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale,3
8170,Régime d'assurance chômage ,3
8190,Autre régime de prévoyance sociale ,3
8210,Mutuelle ,3
8250,Assurance mutuelle agricole ,3
8290,Autre organisme mutualiste ,3
8310,Comité social économique d’entreprise,3
8311,Comité social économique d'établissement ,3
8410,Syndicat de salariés ,3
8420,Syndicat patronal ,3
8450,Ordre professionnel ou assimilé ,3
8470,Centre technique industriel ou comité professionnel du développement économique ,3
8490,Autre organisme professionnel ,3
8510,Institution de prévoyance ,3
8520,Institution de retraite supplémentaire ,3
9110,Syndicat de copropriété ,3
9150,Association syndicale libre ,3
9210,Association non déclarée ,3
9220,Association déclarée ,3
9221,Association déclarée d'insertion par l'économique,3
9222,Association intermédiaire ,3
9223,Groupement d'employeurs ,3
9224,Association d'avocats à responsabilité professionnelle individuelle,3
9230,"Association déclarée, reconnue d'utilité publique",3
9240,Congrégation ,3
9260,"Association de droit local (Bas-Rhin, Haut-Rhin et Moselle)",3
9300,Fondation ,3
9900,Autre personne morale de droit privé ,3
9970,Groupement de coopération sanitaire à gestion privée ,3
